produit,%_dunkerque_sur_portsfrancs_from_France.csv
Muscades,100.0
Vins de Bordeaux,100.0
Réglisse,100.0
Galle,100.0
Girofle,100.0
Boissons diverses et mélangées,100.0
[vide],100.0
Salpêtre et soufre,89.86063804770504
Beurre,79.11125580975865
Coton non transformé,74.02830977993803
Tabac,67.60352368430824
"Bougies, chandelles et flambeaux",67.09618546502477
Cordage et filets,64.8189737769339
Eaux-de-vie et liqueurs,62.670243600827064
Plumes ouvrées,58.12914410521814
Séné,57.79220660057049
Sel,57.337830500894746
Produits inconnus,50.44941177889399
Ouvrages divers et mélangés,41.647883935236024
Fils divers,41.245328503294466
