product_simplification,year,value,partner,product_sitc_FR,export_import,product_reexportations,product_revolutionempire,product_sitc_simplEN,product_RE_aggregate,product_orthographic,quantity_unit_simplification,partner_grouping,source_type,product,partner_simplification,product_sitc_EN
beurre,1787,1198800,"Colonies francaises en Amérique,Asie et afrique",Autres produits alimentaires et animaux,Exports,Pas réexportation,Beurre,Other foodstuffs and live animals,Subsistances,subsistances beurre,unité manquante,Outre-mers,Résumé,1///Subsistances///Beurre,Colonies françaises,Other foodstuff and live animals
eau-de-vie,1787,869600,Royaume d'Espagne,Boissons et tabac,Exports,Pas réexportation,Eaux-de-vie et liqueurs,Drinks and tobacco,Subsistances,subsistances eau-de-vie,unité manquante,Espagne,Résumé,1///Subsistances///Eaux-de-vie,Espagne,Beverages and tobacco
eau-de-vie,1787,389500,Hollande,Boissons et tabac,Exports,Pas réexportation,Eaux-de-vie et liqueurs,Drinks and tobacco,Subsistances,subsistances eau-de-vie,unité manquante,Hollande,Résumé,1///Subsistances///Eaux-de-vie,Hollande,Beverages and tobacco
eau-de-vie,1787,221200,Royaume de Prusse,Boissons et tabac,Exports,Pas réexportation,Eaux-de-vie et liqueurs,Drinks and tobacco,Subsistances,subsistances eau-de-vie,unité manquante,Nord,Résumé,1///Subsistances///Eaux-de-vie,Prusse,Beverages and tobacco
eau-de-vie,1787,324600,Etats d'Allemagne,Boissons et tabac,Exports,Pas réexportation,Eaux-de-vie et liqueurs,Drinks and tobacco,Subsistances,subsistances eau-de-vie,unité manquante,Allemagne,Résumé,1///Subsistances///Eaux-de-vie,Allemagne,Beverages and tobacco
eau-de-vie,1787,426800,République de suisse,Boissons et tabac,Exports,Pas réexportation,Eaux-de-vie et liqueurs,Drinks and tobacco,Subsistances,subsistances eau-de-vie,unité manquante,Suisse,Résumé,1///Subsistances///Eaux-de-vie,Suisse,Beverages and tobacco
eau-de-vie,1787,529500,Etats-Unis d'Amérique,Boissons et tabac,Exports,Pas réexportation,Eaux-de-vie et liqueurs,Drinks and tobacco,Subsistances,subsistances eau-de-vie,unité manquante,États-Unis d'Amérique,Résumé,1///Subsistances///Eaux-de-vie,États-Unis d'Amérique,Beverages and tobacco
eau-de-vie,1787,2150000,Villes anséatiques,Boissons et tabac,Exports,Pas réexportation,Eaux-de-vie et liqueurs,Drinks and tobacco,Subsistances,subsistances eau-de-vie,unité manquante,Nord,Résumé,1///Subsistances///Eaux-de-vie,Villes hanséatiques,Beverages and tobacco
eau-de-vie,1787,1523000,Royaume de Danemarck,Boissons et tabac,Exports,Pas réexportation,Eaux-de-vie et liqueurs,Drinks and tobacco,Subsistances,subsistances eau-de-vie,unité manquante,Nord,Résumé,1///Subsistances///Eaux-de-vie,Danemark,Beverages and tobacco
eau-de-vie,1787,875400,Royaume de Suede,Boissons et tabac,Exports,Pas réexportation,Eaux-de-vie et liqueurs,Drinks and tobacco,Subsistances,subsistances eau-de-vie,unité manquante,Nord,Résumé,1///Subsistances///Eaux-de-vie,Suède,Beverages and tobacco
